,reasons.count,reasons.items,referralId,venue.categories,venue.delivery.id,venue.delivery.provider.icon.name,venue.delivery.provider.icon.prefix,venue.delivery.provider.icon.sizes,venue.delivery.provider.name,venue.delivery.url,venue.events.count,venue.events.items,venue.events.summary,venue.id,venue.location.address,venue.location.cc,venue.location.city,venue.location.country,venue.location.crossStreet,venue.location.formattedAddress,venue.location.labeledLatLngs,venue.location.lat,venue.location.lng,venue.location.neighborhood,venue.location.postalCode,venue.location.state,venue.name,venue.photos.count,venue.photos.groups,venue.venuePage.id,type
0,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",e-3-5272781811d2ce55eb5981df-0,"[{'id': '4bf58dd8d48988d16a941735', 'name': 'Bakery', 'pluralName': 'Bakeries', 'shortName': 'Bakery', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/bakery_', 'suffix': '.png'}, 'primary': True}]",,,,,,,,,,5272781811d2ce55eb5981df,2343 3rd St,US,San Francisco,United States,at 20th St,"['2343 3rd St (at 20th St)', 'San Francisco, CA 94107', 'United States']","[{'label': 'display', 'lat': 37.759746, 'lng': -122.38823}]",37.759746,-122.38823,,94107,CA,Neighbor Bakehouse,0,[],,Bakery
1,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",e-3-58cc4d2fe0adac17bbf4838e-1,"[{'id': '5293a7563cf9994f4e043a44', 'name': 'Russian Restaurant', 'pluralName': 'Russian Restaurants', 'shortName': 'Russian', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/russian_', 'suffix': '.png'}, 'primary': True}]",,,,,,,,,,58cc4d2fe0adac17bbf4838e,380 Bush St,US,San Francisco,United States,at Kearny St,"['380 Bush St (at Kearny St)', 'San Francisco, CA 94104', 'United States']","[{'label': 'display', 'lat': 37.79094301071348, 'lng': -122.40387738626474}]",37.79094301071348,-122.40387738626474,,94104,CA,Pushkin,0,[],,Russian Restaurant
2,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",e-3-5989205d64c8e12750122427-2,"[{'id': '4bf58dd8d48988d1d2941735', 'name': 'Sushi Restaurant', 'pluralName': 'Sushi Restaurants', 'shortName': 'Sushi', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/sushi_', 'suffix': '.png'}, 'primary': True}]",,,,,,,,,,5989205d64c8e12750122427,1040 Polk St,US,San Francisco,United States,,"['1040 Polk St', 'San Francisco, CA 94109', 'United States']","[{'label': 'display', 'lat': 37.7867804695193, 'lng': -122.41988550891186}]",37.7867804695193,-122.41988550891186,Lower Nob Hill,94109,CA,Kuma Sushi + Sake,0,[],,Sushi Restaurant
3,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",e-3-4bae4f93f964a5200fa13be3-3,"[{'id': '4bf58dd8d48988d1cb941735', 'name': 'Food Truck', 'pluralName': 'Food Trucks', 'shortName': 'Food Truck', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/streetfood_', 'suffix': '.png'}, 'primary': True}]",,,,,,,,,,4bae4f93f964a5200fa13be3,Ferry Plaza Farmers Market,US,San Francisco,United States,,"['Ferry Plaza Farmers Market', 'San Francisco, CA 94105', 'United States']","[{'label': 'display', 'lat': 37.7953184214281, 'lng': -122.39334567764996}]",37.7953184214281,-122.39334567764996,,94105,CA,Primavera,0,[],92051828,Food Truck
4,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",e-3-55554f0a498e7ffc6883325c-4,"[{'id': '4bf58dd8d48988d16d941735', 'name': 'Café', 'pluralName': 'Cafés', 'shortName': 'Café', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/cafe_', 'suffix': '.png'}, 'primary': True}]",,,,,,,,,,55554f0a498e7ffc6883325c,1160 Howard St,US,San Francisco,United States,at 8th St,"['1160 Howard St (at 8th St)', 'San Francisco, CA 94103', 'United States']","[{'label': 'display', 'lat': 37.77701166643817, 'lng': -122.41089851840502}]",37.77701166643817,-122.41089851840502,,94103,CA,Vive La Tarte,0,[],,Café
5,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",e-3-4570691ff964a5205c3e1fe3-5,"[{'id': '4bf58dd8d48988d10e941735', 'name': 'Greek Restaurant', 'pluralName': 'Greek Restaurants', 'shortName': 'Greek', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/greek_', 'suffix': '.png'}, 'primary': True}]",,,,,,,,,,4570691ff964a5205c3e1fe3,200 Jackson St,US,San Francisco,United States,at Front St,"['200 Jackson St (at Front St)', 'San Francisco, CA 94111', 'United States']","[{'label': 'display', 'lat': 37.79688301339759, 'lng': -122.39965473755873}]",37.79688301339759,-122.39965473755873,,94111,CA,Kokkari Estiatorio,0,[],,Greek Restaurant
6,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",e-3-4ca4d6a3d7c33704acd2ac62-6,"[{'id': '4bf58dd8d48988d16a941735', 'name': 'Bakery', 'pluralName': 'Bakeries', 'shortName': 'Bakery', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/bakery_', 'suffix': '.png'}, 'primary': True}]",,,,,,,,,,4ca4d6a3d7c33704acd2ac62,1268 Valencia St,US,San Francisco,United States,at 24th St,"['1268 Valencia St (at 24th St)', 'San Francisco, CA 94110', 'United States']","[{'label': 'display', 'lat': 37.75249756924551, 'lng': -122.42081246253653}]",37.75249756924551,-122.42081246253653,,94110,CA,Arizmendi Bakery Panaderia & Pizzeria,0,[],92493501,Bakery
7,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",e-3-44088735f964a52058301fe3-7,"[{'id': '4bf58dd8d48988d1ca941735', 'name': 'Pizza Place', 'pluralName': 'Pizza Places', 'shortName': 'Pizza', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/pizza_', 'suffix': '.png'}, 'primary': True}]",,,,,,,,,,44088735f964a52058301fe3,3611 18th St,US,San Francisco,United States,btwn Guerrero St & Oakwood St,"['3611 18th St (btwn Guerrero St & Oakwood St)', 'San Francisco, CA 94110', 'United States']","[{'label': 'display', 'lat': 37.761528004962244, 'lng': -122.4242371423357}]",37.761528004962244,-122.4242371423357,Mission Dolores,94110,CA,Pizzeria Delfina,0,[],,Pizza Place
8,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",e-3-4fc541fb7716c8a1e24eec6c-8,"[{'id': '4bf58dd8d48988d146941735', 'name': 'Deli / Bodega', 'pluralName': 'Delis / Bodegas', 'shortName': 'Deli / Bodega', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/deli_', 'suffix': '.png'}, 'primary': True}]",,,,,,,,,,4fc541fb7716c8a1e24eec6c,3000 20th St,US,San Francisco,United States,at Florida St,"['3000 20th St (at Florida St)', 'San Francisco, CA 94110', 'United States']","[{'label': 'display', 'lat': 37.759250878333965, 'lng': -122.41102512638287}]",37.759250878333965,-122.41102512638287,,94110,CA,Salumeria,0,[],,Deli / Bodega
9,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",e-3-56676578498ea3606c450af7-9,"[{'id': '4bf58dd8d48988d16b941735', 'name': 'Brazilian Restaurant', 'pluralName': 'Brazilian Restaurants', 'shortName': 'Brazilian', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/argentinian_', 'suffix': '.png'}, 'primary': True}]",563175,/delivery_provider_grubhub_20180129.png,https://fastly.4sqi.net/img/general/cap/,"[40, 50]",grubhub,https://www.grubhub.com/restaurant/cafe-de-casa-2701-leavenworth-st-san-francisco/563175?affiliate=1131&utm_source=foursquare-affiliate-network&utm_medium=affiliate&utm_campaign=1131&utm_content=563175,,,,56676578498ea3606c450af7,2701 Leavenworth St,US,San Francisco,United States,at Columbus Ave,"['2701 Leavenworth St (at Columbus Ave)', 'San Francisco, CA 94133', 'United States']","[{'label': 'display', 'lat': 37.80607956874178, 'lng': -122.41855703089183}]",37.80607956874178,-122.41855703089183,,94133,CA,Cafe de Casa,0,[],,Brazilian Restaurant
