,flags.outsideRadius,reasons.count,reasons.items,referralId,venue.categories,venue.delivery.id,venue.delivery.provider.icon.name,venue.delivery.provider.icon.prefix,venue.delivery.provider.icon.sizes,venue.delivery.provider.name,venue.delivery.url,venue.id,venue.location.address,venue.location.cc,venue.location.city,venue.location.country,venue.location.crossStreet,venue.location.distance,venue.location.formattedAddress,venue.location.labeledLatLngs,venue.location.lat,venue.location.lng,venue.location.neighborhood,venue.location.postalCode,venue.location.state,venue.name,venue.photos.count,venue.photos.groups,venue.venuePage.id
0,True,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",e-10-53eec3e9498e08d769c158d3-0,"[{'id': '4bf58dd8d48988d165941735', 'name': 'Scenic Lookout', 'pluralName': 'Scenic Lookouts', 'shortName': 'Scenic Lookout', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/sceniclookout_', 'suffix': '.png'}, 'primary': True}]",,,,,,,53eec3e9498e08d769c158d3,S Sepulveda Blvd,US,Los Angeles International Airport,United States,at Lincoln Blvd,2198,"['S Sepulveda Blvd (at Lincoln Blvd)', 'Los Angeles International Airport, CA', 'United States']","[{'label': 'display', 'lat': 33.95272230670475, 'lng': -118.39672163205904}]",33.95272230670475,-118.39672163205904,,,CA,LAX Landing Path,0,[],
1,True,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",e-10-4a68accdf964a520d0ca1fe3-1,"[{'id': '52e81612bcbc57f1066b7a11', 'name': 'Gun Range', 'pluralName': 'Gun Ranges', 'shortName': 'Gun Range', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/gun_', 'suffix': '.png'}, 'primary': True}]",,,,,,,4a68accdf964a520d0ca1fe3,927 W Manchester Blvd,US,Inglewood,United States,La Cienega,3769,"['927 W Manchester Blvd (La Cienega)', 'Inglewood, CA 90301', 'United States']","[{'label': 'display', 'lat': 33.96069343200843, 'lng': -118.37276741507928}]",33.96069343200843,-118.37276741507928,,90301,CA,LAX Firing Range,0,[],
2,True,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",e-10-4bd88b4011dcc928bbcaf633-2,"[{'id': '4bf58dd8d48988d1e2941735', 'name': 'Beach', 'pluralName': 'Beaches', 'shortName': 'Beach', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/beach_', 'suffix': '.png'}, 'primary': True}]",,,,,,,4bd88b4011dcc928bbcaf633,Along the Strand,US,Manhattan Beach,United States,at the Pacific Ocean,5362,"['Along the Strand (at the Pacific Ocean)', 'Manhattan Beach, CA 90266', 'United States']","[{'label': 'display', 'lat': 33.8872146765117, 'lng': -118.4143352508545}]",33.8872146765117,-118.4143352508545,El Porto,90266,CA,Manhattan Beach,0,[],
3,True,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",e-10-4bbc17baafe1b713a518304b-3,"[{'id': '4bf58dd8d48988d12d941735', 'name': 'Monument / Landmark', 'pluralName': 'Monuments / Landmarks', 'shortName': 'Landmark', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/government_monument_', 'suffix': '.png'}, 'primary': True}]",,,,,,,4bbc17baafe1b713a518304b,Sepulveda Blvd,US,Los Angeles,United States,at Century,1368,"['Sepulveda Blvd (at Century)', 'Los Angeles, CA 90045', 'United States']","[{'label': 'display', 'lat': 33.94526463969163, 'lng': -118.39667558670043}]",33.94526463969163,-118.39667558670043,,90045,CA,LAX Sign,0,[],
0,,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",e-10-574fe9f1498e15b8426b8fd7-0,"[{'id': '4bf58dd8d48988d1e2941735', 'name': 'Beach', 'pluralName': 'Beaches', 'shortName': 'Beach', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/beach_', 'suffix': '.png'}, 'primary': True}]",,,,,,,574fe9f1498e15b8426b8fd7,21110 Pacific Coast Hwy,US,Malibu,United States,,3868,"['21110 Pacific Coast Hwy', 'Malibu, CA 90265', 'United States']","[{'label': 'display', 'lat': 34.036921, 'lng': -118.634603}]",34.036921,-118.634603,,90265,CA,Malibu Beach,0,[],
1,True,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",e-10-4cf1785ae9425481d1886ac5-1,"[{'id': '5bae9231bedf3950379f89d0', 'name': 'State / Provincial Park', 'pluralName': 'State / Provincial Parks', 'shortName': 'State / Provincial Park', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/default_', 'suffix': '.png'}, 'primary': True}]",,,,,,,4cf1785ae9425481d1886ac5,20800 Entrada Rd,US,Topanga,United States,,10365,"['20800 Entrada Rd', 'Topanga, CA', 'United States']","[{'label': 'display', 'lat': 34.09324617541828, 'lng': -118.5863935947418}]",34.09324617541828,-118.5863935947418,,,CA,Topanga State Park,0,[],
2,True,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",e-10-4bcb6356937ca5930c7aa992-2,"[{'id': '4bf58dd8d48988d1e2941735', 'name': 'Beach', 'pluralName': 'Beaches', 'shortName': 'Beach', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/beach_', 'suffix': '.png'}, 'primary': True}]",,,,,,,4bcb6356937ca5930c7aa992,30050 Pacific Coast Hwy,US,Malibu,United States,,13747,"['30050 Pacific Coast Hwy', 'Malibu, CA 90265', 'United States']","[{'label': 'display', 'lat': 34.0155660260337, 'lng': -118.82314682006835}]",34.0155660260337,-118.82314682006835,,90265,CA,Zuma Beach,0,[],
3,True,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",e-10-4c283237fe6e2d7f1cf8523c-3,"[{'id': '4bf58dd8d48988d159941735', 'name': 'Trail', 'pluralName': 'Trails', 'shortName': 'Trail', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/hikingtrail_', 'suffix': '.png'}, 'primary': True}]",,,,,,,4c283237fe6e2d7f1cf8523c,,US,Santa Monica,United States,Ocean Ave and Marguerita,15310,"['Santa Monica, CA', 'United States']","[{'label': 'display', 'lat': 34.024530454971305, 'lng': -118.511322507401}]",34.024530454971305,-118.511322507401,North of Montana,,CA,Palisades Ocean Walkway,0,[],
4,True,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",e-10-4a7e2380f964a52021f11fe3-4,"[{'id': '4bf58dd8d48988d163941735', 'name': 'Park', 'pluralName': 'Parks', 'shortName': 'Park', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/park_', 'suffix': '.png'}, 'primary': True}]",,,,,,,4a7e2380f964a52021f11fe3,Ocean Ave,US,Santa Monica,United States,btwn Colorado & Adelaide,15566,"['Ocean Ave (btwn Colorado & Adelaide)', 'Santa Monica, CA 90402', 'United States']","[{'label': 'display', 'lat': 34.02275124810864, 'lng': -118.50874900817871}]",34.02275124810864,-118.50874900817871,Wilshire-Montana,90402,CA,Palisades Park,0,[],
5,True,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",e-10-49e27207f964a52016621fe3-5,"[{'id': '5bae9231bedf3950379f89d0', 'name': 'State / Provincial Park', 'pluralName': 'State / Provincial Parks', 'shortName': 'State / Provincial Park', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/default_', 'suffix': '.png'}, 'primary': True}]",,,,,,,49e27207f964a52016621fe3,1432 Palisades Beach Rd,US,Santa Monica,United States,at Colorado Ave,16672,"['1432 Palisades Beach Rd (at Colorado Ave)', 'Santa Monica, CA 90401', 'United States']",,34.012746803115235,-118.49832245956846,,90401,CA,Santa Monica State Beach,0,[],
