,name,id,category,address,lat,lng,city,state,rating,price_tier,serves,bucket,big_bucket,image_url,like_counts
0,Hopdoddy Burger Bar,55cd5356498ebfb0cba0dcb2,'burger joint',830 S Pacific Coast Hwy Ste 116,33.927394,-118.39604399999999,El Segundo,CA,8.5,1,"Happy Hour, Brunch & more",0,1,https://fastly.4sqi.net/img/general/300x500/17459539_V7DIyph2-Dvgj-MGYn5DJjd_dLqFJhKpGjdtMXfRkcA.jpg,116
1,In-N-Out Burger,55d631df498ed45ed4a11721,'burger joint',600 N. Sepulveda Blvd,33.923919,-118.39577299999999,El Segundo,CA,8.4,1,"Dinner, Lunch & more",0,1,https://fastly.4sqi.net/img/general/300x500/33579490_aovBwng9KZSGMyj977rsh3VaMZlqzfHMeAtDmfTacMU.jpg,143
2,Bread & Butter,571f9a21498edb90145573ba,'diner',630 North Sepulveda,33.92443846,-118.39568229999999,El Segundo,CA,7.8,1,"Lunch, Brunch & more",3,1,https://fastly.4sqi.net/img/general/300x500/504885682_evWg5CP8FWwK1aUdM2B4S31Jq8bqC4u2OQq5wPlr5rs.jpg,6
3,Jersey Mike's Subs,5b588428b77c770039515458,'sandwich place',"1 World Way-Los Angeles International Airport, Terminal 2, #233",33.938398,-118.40508799999999,Los Angeles,CA,7.5,1,,0,1,,0
4,Jersey Mike's Subs,51ddafe7498e3265d612ee18,'sandwich place',530 A N. Sepulveda Blvd.,33.922938,-118.39581899999999,El Segundo,CA,7.5,1,"Dinner, Lunch & more",0,1,https://fastly.4sqi.net/img/general/300x500/135547138_iLLViDpEBwbaPkq3t7g0SUxDo_FXxXXRVNDpiYkyRMk.jpg,20
5,El Pollo Loco,4b6a2104f964a52035c92be3,'fast food restaurant',630 N Sepulveda Blvd,33.924537,-118.39591200000001,El Segundo,CA,7.3,1,"Dinner, Lunch & more",0,1,https://fastly.4sqi.net/img/general/300x500/U4L1NJL53EU5FBAUQIFPECTDYHM4SRCIMYIXMCV1O5VNCFOY.jpg,29
6,Petit Cafe,4af8731bf964a5205b0d22e3,'falafel restaurant',630 N Sepulveda Blvd,33.924541,-118.39568600000001,El Segundo,CA,7.2,1,"Dinner, Lunch & more",8,1,https://fastly.4sqi.net/img/general/300x500/JEHWNQNNXQADAY3XW2Q33FABUJXW1Q0RFQOMM5SEHCEHOBKI.jpg,9
7,SUBWAY,4fc585e9e4b01c7a894b9268,'sandwich place',630 N Sepulveda Blvd,33.92435323,-118.3958752,El Segundo,CA,7.2,1,"Dinner, Breakfast & more",0,1,https://fastly.4sqi.net/img/general/300x500/5080507_Lxz0my9-3oh3o6IZi0YkiqVzq0EXWWK4Mqy0szGycSM.jpg,4
8,IHOP,4b6884e7f964a520857d2be3,'breakfast spot',755 N. Sepulveda Blvd.,33.92621037,-118.39657530000001,El Segundo,CA,6.9,2,"Dinner, Breakfast & more",0,1,https://fastly.4sqi.net/img/general/300x500/2kYvptP4KSG8csLbGMiAlHRjuWYCZfUj0JdQwNdNEf4.jpg,90
9,The Habit Burger,5606fe0c498ecb20435f1bd4,'burger joint',Terminal 6,33.94087083,-118.4019649,Los Angeles,CA,7.1,1,"Dinner, Lunch & more",0,1,https://fastly.4sqi.net/img/general/300x500/11788393_3oTlIIUtnkERT-KR8aDq7Z249P6po3Cry4wnuXfbmgU.jpg,36
10,Panda Express,595d92791b0ea52c2b5760b8,'chinese restaurant',Terminal 8,33.942696000000005,-118.3975915,Los Angeles,CA,7.1,1,"Dinner, Breakfast & more",9,1,https://fastly.4sqi.net/img/general/300x500/5853994_6WsUGjyFzGwHMo_oLHnss3D49nHKPdVqZ_AbNkiOmps.jpg,3
